,group,names,scores,logfoldchanges,pvals,pvals_adj
68,Acinar,BNIP3,6.4380355,2.2858758,1.210298526478694e-10,1.077911204501501e-09
69,Acinar,NR5A2,6.4059243,4.7311945,1.4946121845030558e-10,1.319064744806774e-09
70,Acinar,TCEA3,6.3952346,2.3889728,1.603012862027728e-10,1.4100265702256255e-09
71,Acinar,FKBP11,6.3834434,1.010391,1.7314986817333078e-10,1.5165568434850132e-09
72,Acinar,PTF1A,6.308945,11.382099,2.8094338650253574e-10,2.4049117733591254e-09
73,Acinar,MT1M,6.29226,2.4186873,3.128760750469381e-10,2.658584720336861e-09
74,Acinar,KRT18,6.2904997,0.807867,3.1644592610602984e-10,2.6852199699423633e-09
75,Acinar,C2CD4B,6.132936,3.633691,8.627198908328832e-10,7.055394175715497e-09
76,Acinar,XBP1,6.0547194,0.77823937,1.406624742923472e-09,1.1216029348248468e-08
77,Acinar,TEX11,5.990467,8.109937,2.0923896697679597e-09,1.6352979568579234e-08
78,Acinar,SLC43A1,5.76913,3.369092,7.96817586736329e-09,5.833347736443529e-08
79,Acinar,GNMT,5.5676894,5.5337906,2.581393305448242e-08,1.777300814878371e-07
80,Acinar,GPHA2,5.5421634,8.356957,2.987572032213909e-08,2.0365007587544313e-07
81,Acinar,GSTA1,5.365124,4.4351406,8.089349754074954e-08,5.22911616830825e-07
82,Acinar,PAIP2B,5.303727,2.5813336,1.1346181539020353e-07,7.196154274936589e-07
83,Acinar,CLU,5.3011703,0.7492986,1.1506258957917064e-07,7.290186050468028e-07
84,Acinar,RBPJL,5.2868733,11.627316,1.2442468407353868e-07,7.832406898465919e-07
85,Acinar,HOMER2,5.2181506,2.9840498,1.8071829577543868e-07,1.1148511666386813e-06
87,Acinar,SORBS2,5.141929,2.0738094,2.719316826513386e-07,1.637163191551179e-06
88,Acinar,ERO1B,5.072008,1.7577441,3.9363985575243686e-07,2.3171414791381515e-06
89,Acinar,FGL1,5.0603557,8.325266,4.1847523323947616e-07,2.4516369552272825e-06
90,Acinar,EPB41L4B,5.0476966,3.5732696,4.47168184407017e-07,2.610644034328285e-06
91,Acinar,TPM1,5.0270276,0.83708847,4.981410905908578e-07,2.8918121592111058e-06
92,Acinar,AKR7A3,4.913123,1.7764828,8.963700439725429e-07,5.036816924177016e-06
93,Acinar,SLC16A12,4.903909,8.317415,9.394783984832706e-07,5.25920348479428e-06
94,Acinar,CBS,4.8891196,3.9415946,1.0128800414087302e-06,5.642796786981147e-06
95,Acinar,OLFM4,4.8872104,2.6493075,1.0227467802929805e-06,5.69605015434312e-06
96,Acinar,AOX1,4.753414,5.8057427,2.0000992005568676e-06,1.0695127392287186e-05
97,Acinar,INSR,4.7425117,1.4948905,2.110847454793948e-06,1.1238623085693784e-05
98,Acinar,KRT8,4.706782,0.52892524,2.51658177555298e-06,1.3253949607330393e-05
99,Acinar,MT1F,4.6751866,1.6765662,2.936865425193125e-06,1.5340832182909726e-05
100,Acinar,RRBP1,4.6508636,0.8989325,3.305477044515238e-06,1.7135704107239077e-05
101,Acinar,COMTD1,4.5655513,1.3837467,4.981838600848854e-06,2.527381770447087e-05
102,Acinar,ERRFI1,4.476233,1.3547028,7.5971491763513376e-06,3.752346939064164e-05
103,Acinar,SYBU,4.466786,3.6201918,7.940351536631873e-06,3.912462350597606e-05
104,Acinar,REG4,4.4369354,1.6982743,9.124866013273786e-06,4.462840785086098e-05
105,Acinar,GPT2,4.4339643,3.4844174,9.251587991029259e-06,4.5188476893633804e-05
106,Acinar,MEG3,4.411789,3.0638175,1.025200564442603e-05,4.9733648351610104e-05
107,Acinar,HPN,4.3807883,5.22222,1.1825066904298763e-05,5.684325018126161e-05
108,Acinar,CLDN10,4.3596797,1.0957559,1.3025309455185784e-05,6.214472856074332e-05
109,Acinar,DEFB1,4.1402464,0.9610387,3.469326914371416e-05,0.00015569067217330697
110,Acinar,YBX3,4.0989494,0.7650208,4.150293464521777e-05,0.00018428378394410875
111,Acinar,DSP,4.084782,1.2361735,4.411819039085289e-05,0.0001950072485224539
112,Acinar,LRIG1,4.0707603,2.1630955,4.6859922184004716e-05,0.00020628843479052696
113,Acinar,C3,4.0589414,1.7155426,4.92956678610744e-05,0.00021623961249227398
114,Acinar,FLRT2,4.025949,3.1891057,5.674603953992697e-05,0.00024687328485318015
115,Acinar,PDGFA,4.0221057,1.5126327,5.768020017644232e-05,0.00025064274821916363
116,Acinar,DMD,4.0128965,3.1971426,5.997820029192588e-05,0.00025965299480764265
117,Acinar,SLC38A5,3.989911,2.1831174,6.609805607276776e-05,0.0002837598369009191
118,Acinar,SLC7A2,3.9739552,3.010495,7.068890416076579e-05,0.0003022734633325537
119,Acinar,EIF4EBP1,3.9635937,1.0160811,7.38298327708486e-05,0.000314758976063141
120,Acinar,SLC39A14,3.9629135,1.564769,7.4040599391083e-05,0.00031543954257154074
121,Acinar,LINC00261,3.9060516,4.3204236,9.381650134110758e-05,0.0003937102018865937
122,Acinar,PABPC4,3.8586113,0.8156498,0.00011403307367565214,0.00047223318293025153
123,Acinar,ALDH1A1,3.8194153,1.007314,0.00013376831845304238,0.0005471050319581117
124,Acinar,BRSK2,3.8039546,5.2406154,0.00014240434178211251,0.0005795346232839428
125,Acinar,RGN,3.7528307,4.1933746,0.00017484888551675995,0.0007022413898130808
126,Acinar,SLC30A2,3.692519,4.0247006,0.00022204382927554147,0.0008795730197779209
127,Acinar,KCNK3,3.6642926,4.976593,0.0002480230383710477,0.0009741431178126018
128,Acinar,FGFR1,3.6507986,2.1051593,0.0002614262619426614,0.0010226624032493837
129,Acinar,FBXO2,3.6177201,1.6036642,0.0002972094041977416,0.0011507226869220928
130,Acinar,GOLGA8B,3.594626,2.3328953,0.0003248578336006505,0.0012491468785471097
131,Acinar,ENPP1,3.5867221,3.185848,0.00033486090708259895,0.0012844084574875976
132,Acinar,NRCAM,3.5703957,4.442371,0.0003564422393223777,0.0013609813334308322
133,Acinar,GCAT,3.557605,2.9405286,0.0003742514834915254,0.0014234016039822567
134,Acinar,PBX1,3.5249987,1.436982,0.00042348477931843304,0.0015994760838461714
135,Acinar,HDLBP,3.499917,0.623986,0.0004654030259807092,0.0017453320773708177
136,Acinar,SEL1L,3.3759475,0.9093645,0.0007356196193218714,0.002664209842424633
137,Acinar,RHOBTB3,3.339653,1.127443,0.0008388313503133555,0.003007992985903753
138,Acinar,PAK3,3.3352358,3.6466432,0.0008522706244205194,0.0030544098462723765
139,Acinar,FXYD2,3.249833,2.5383737,0.0011547278482287766,0.004042858170104043
140,Acinar,STXBP6,3.2472346,1.7971054,0.0011653228421806096,0.004076867644657191
141,Acinar,SERPINA4,3.2157252,2.8642294,0.0013011540842664262,0.004511984005530963
142,Acinar,DHRS12,3.1918025,1.6104261,0.0014138793918715708,0.004865501284002819
143,Acinar,PLTP,3.163426,0.9637321,0.001559240114656199,0.005320216962010006
144,Acinar,ALDH1L2,3.1620514,2.3591704,0.0015666183006500126,0.005343421468877586
145,Acinar,GRB10,3.1612487,2.2021742,0.0015709433144163922,0.005356198953556406
146,Acinar,MTUS1,3.1341424,1.3853438,0.0017235723818921007,0.005825082920320874
147,Acinar,CXCL12,3.1108284,1.8964735,0.0018656336554715525,0.006257209507396162
