"GeneSymbol"	"Steele_PDAC1"	"Steele_PDAC2"	"Steele_PDAC3"	"Steele_PDAC4"	"Steele_PDAC5"	"Steele_PDAC6"	"Steele_PDAC7"	"Steele_PDAC8"	"Steele_PDAC9"	"Steele_PDAC10"	"Steele_PDAC11A"	"Steele_PDAC11B"	"Steele_PDAC12"	"Steele_PDAC13"	"Steele_PDAC15"	"Steele_PDAC16"
"TCAIM"	"3.163411e+01"	"2.677761e+01"	"2.726305e+01"	"3.104511e+01"	"2.130808e+01"	"1.908095e+01"	"2.175844e+01"	"2.331256e+01"	"1.441326e+01"	"2.589798e+01"	"5.477023e+01"	"2.864205e+01"	"2.742309e+01"	"3.377127e+01"	"2.373535e+01"	"4.535257e+01"
"ZNF445"	"1.953443e+01"	"7.505844e+00"	"1.713460e+01"	"2.062866e+01"	"1.049343e+01"	"1.248103e+01"	"2.048248e+01"	"1.670371e+01"	"1.360755e+01"	"3.720266e+01"	"3.078327e+01"	"2.340037e+01"	"1.366377e+01"	"6.577467e+00"	"1.412154e+01"	"9.397380e+00"
"ZNF852"	"3.352924e+00"	"2.231467e+00"	"4.036150e+00"	"2.655174e+00"	"2.783971e+00"	"2.679174e+00"	"5.215757e+00"	"3.122867e+00"	"2.238084e+00"	"8.632661e+00"	"2.398696e+00"	"4.305668e+00"	"1.911017e+00"	"2.287815e+00"	"1.954676e+00"	"1.634327e+00"
"ZKSCAN7"	"3.061366e+00"	"9.128730e-01"	"1.903844e+00"	"4.595493e+00"	"2.783971e+00"	"1.437605e+00"	"1.611736e+00"	"1.634058e+00"	"2.238084e+00"	"5.549568e+00"	"3.997827e-01"	"2.059233e+00"	"1.719915e+00"	"1.091912e+00"	"2.513155e+00"	"3.949624e+00"
"ZNF660"	"3.207145e+00"	"1.724316e+00"	"1.675383e+00"	"8.271888e+00"	"2.998122e+00"	"1.895025e+00"	"7.342354e+00"	"4.938487e+00"	"1.074280e+00"	"2.672014e+00"	"1.199348e+00"	"1.684827e+00"	"3.153177e+00"	"7.799368e-01"	"1.874893e+00"	"2.042909e+00"
"ZNF197"	"1.457793e+01"	"6.592971e+00"	"1.850537e+01"	"1.899471e+01"	"1.102881e+01"	"1.065135e+01"	"1.412508e+01"	"1.209203e+01"	"6.893300e+00"	"1.911518e+01"	"1.679087e+01"	"1.235540e+01"	"1.318601e+01"	"1.128309e+01"	"9.374467e+00"	"1.089551e+01"
"ZNF35"	"6.705848e+00"	"3.651492e+00"	"7.843838e+00"	"5.514592e+00"	"7.067002e+00"	"6.665262e+00"	"1.043151e+01"	"6.499920e+00"	"4.207599e+00"	"8.016042e+00"	"4.397609e+00"	"8.798539e+00"	"5.828601e+00"	"7.539389e+00"	"7.978270e+00"	"3.949624e+00"
"ZNF502"	"4.810717e+00"	"2.637189e+00"	"6.625378e+00"	"5.412470e+00"	"5.889169e+00"	"1.437605e+00"	"2.775768e+00"	"3.377054e+00"	"1.253327e+00"	"7.604963e+00"	"1.199348e+01"	"5.616089e+00"	"4.490889e+00"	"2.235819e+00"	"1.994567e+00"	"5.311563e+00"
"ZNF501"	"4.081821e+00"	"2.231467e+00"	"4.949995e+00"	"5.923080e+00"	"4.283032e+00"	"1.633643e+00"	"2.193752e+00"	"3.086554e+00"	"1.879991e+00"	"5.344028e+00"	"5.996740e+00"	"3.369653e+00"	"2.770974e+00"	"2.729779e+00"	"2.233916e+00"	"1.770521e+00"
"KIAA1143"	"6.137309e+01"	"3.164626e+01"	"7.089916e+01"	"6.188598e+01"	"5.996244e+01"	"4.979343e+01"	"6.986429e+01"	"5.784566e+01"	"4.914833e+01"	"6.556711e+01"	"6.316566e+01"	"7.637881e+01"	"4.328453e+01"	"4.125866e+01"	"4.659310e+01"	"5.107272e+01"
"KIF15"	"4.664938e+00"	"1.318594e+00"	"3.959996e+00"	"1.736075e+00"	"1.713213e+00"	"2.156408e+00"	"5.618691e+00"	"3.776490e+00"	"2.506654e+00"	"3.699712e+00"	"1.079413e+01"	"4.867277e+00"	"4.777541e-01"	"1.039916e+00"	"2.353590e+00"	"4.494399e+00"
"TMEM42"	"3.119677e+01"	"1.105591e+01"	"2.954766e+01"	"2.777720e+01"	"2.077270e+01"	"2.470068e+01"	"2.068395e+01"	"2.552762e+01"	"1.521897e+01"	"2.302043e+01"	"2.598587e+01"	"2.321317e+01"	"1.700805e+01"	"2.604989e+01"	"2.018502e+01"	"4.399063e+01"
"TGM4"	"4.373379e-01"	"0.000000e+00"	"3.807689e-01"	"1.021221e-01"	"0.000000e+00"	"2.613828e-01"	"2.238522e-02"	"2.541868e-01"	"5.371402e-01"	"4.110791e-01"	"0.000000e+00"	"3.744059e-01"	"6.688558e-01"	"1.819853e-01"	"1.994567e-01"	"1.361939e-01"
"ZDHHC3"	"5.641659e+01"	"4.888942e+01"	"9.214606e+01"	"5.279711e+01"	"5.857046e+01"	"7.377530e+01"	"4.904603e+01"	"5.221724e+01"	"5.926447e+01"	"4.830179e+01"	"8.195545e+01"	"6.421061e+01"	"7.749172e+01"	"1.128309e+02"	"9.761413e+01"	"1.223021e+02"
"EXOSC7"	"5.379257e+01"	"2.779191e+01"	"5.604918e+01"	"3.860214e+01"	"4.015342e+01"	"4.953204e+01"	"4.830731e+01"	"4.560838e+01"	"2.721511e+01"	"3.391402e+01"	"5.317110e+01"	"4.754955e+01"	"3.583156e+01"	"5.287972e+01"	"5.824137e+01"	"4.589735e+01"
"CLEC3B"	"1.603572e+00"	"1.724316e+00"	"1.066153e+00"	"1.470558e+01"	"3.426425e+00"	"6.534570e-01"	"5.193372e+00"	"5.628423e+00"	"1.253327e+00"	"6.166186e-01"	"1.159370e+01"	"7.488118e-01"	"1.815466e+00"	"2.339811e-01"	"4.308266e+00"	"6.809696e-01"
"CDCP1"	"1.040864e+02"	"1.158334e+02"	"8.826222e+01"	"3.482363e+01"	"5.739263e+01"	"8.553753e+01"	"3.315252e+01"	"5.900766e+01"	"2.372369e+01"	"2.713122e+01"	"7.595871e+01"	"3.781500e+01"	"4.013135e+01"	"2.129748e+02"	"6.127311e+01"	"5.815480e+01"
"TMEM158"	"1.865975e+01"	"2.748762e+01"	"2.436921e+00"	"2.042442e+01"	"3.233689e+01"	"2.528879e+01"	"1.860212e+01"	"1.398028e+01"	"2.112752e+01"	"1.253791e+01"	"4.397609e+00"	"7.300915e+00"	"1.366377e+01"	"4.136265e+01"	"9.857152e+01"	"6.809696e+00"
"LARS2"	"1.151657e+01"	"5.071516e+00"	"5.939994e+00"	"5.923080e+00"	"5.246714e+00"	"6.338533e+00"	"7.924369e+00"	"4.539051e+00"	"3.759982e+00"	"1.520993e+01"	"7.196088e+00"	"7.862524e+00"	"6.019702e+00"	"4.445640e+00"	"8.417075e+00"	"7.218277e+00"
"LIMD1"	"3.440392e+01"	"1.856175e+01"	"3.411689e+01"	"4.197217e+01"	"2.419913e+01"	"1.600970e+01"	"2.504907e+01"	"2.207794e+01"	"1.450279e+01"	"4.234114e+01"	"3.318196e+01"	"3.856381e+01"	"9.488197e+01"	"2.326812e+01"	"2.225937e+01"	"1.852237e+01"
"SACM1L"	"5.845750e+01"	"3.154483e+01"	"4.721534e+01"	"5.606502e+01"	"2.923169e+01"	"2.966695e+01"	"4.792677e+01"	"3.249960e+01"	"3.706268e+01"	"9.742574e+01"	"5.397066e+01"	"5.241683e+01"	"3.411165e+01"	"2.867568e+01"	"3.837548e+01"	"3.146079e+01"
"SLC6A20"	"2.040910e+00"	"2.393756e+01"	"6.054225e+01"	"2.838994e+01"	"1.424108e+01"	"1.045531e+00"	"1.455040e+00"	"9.695412e+00"	"2.775225e+00"	"4.110791e+00"	"7.475936e+01"	"2.639562e+01"	"5.733050e-01"	"4.565230e+01"	"1.005262e+01"	"1.642499e+02"
"LZTFL1"	"1.516105e+01"	"1.582313e+01"	"1.926690e+01"	"1.766712e+01"	"1.102881e+01"	"1.254638e+01"	"1.255811e+01"	"1.347190e+01"	"6.982823e+00"	"1.377115e+01"	"2.878435e+01"	"1.497624e+01"	"1.041504e+01"	"2.043435e+01"	"1.759208e+01"	"2.546826e+01"
"CCR9"	"2.332469e+00"	"1.115734e+00"	"8.376915e-01"	"1.021221e-01"	"2.141516e-01"	"1.110877e+00"	"3.805488e-01"	"6.899357e-01"	"4.476169e-01"	"3.288633e+00"	"1.199348e+00"	"5.616089e-01"	"0.000000e+00"	"1.091912e+00"	"3.031743e+00"	"4.085817e-01"
"FYCO1"	"1.938865e+01"	"1.846032e+01"	"2.299844e+01"	"2.869630e+01"	"1.499061e+01"	"1.300379e+01"	"1.884836e+01"	"1.971764e+01"	"8.146627e+00"	"4.932949e+01"	"2.438674e+01"	"1.759708e+01"	"1.481038e+01"	"1.648267e+01"	"1.715328e+01"	"2.465110e+01"
"CXCR6"	"1.691040e+01"	"2.535758e+00"	"1.271768e+01"	"1.133555e+01"	"3.854729e+00"	"1.359191e+01"	"2.404173e+01"	"3.046611e+01"	"1.620373e+01"	"5.405690e+01"	"2.398696e+00"	"1.553785e+01"	"2.942966e+01"	"2.599789e+00"	"1.376252e+01"	"6.809696e-01"
"XCR1"	"2.915586e-01"	"0.000000e+00"	"0.000000e+00"	"1.021221e-01"	"0.000000e+00"	"6.534570e-02"	"1.634121e+00"	"5.592110e+00"	"1.432374e+00"	"8.221581e+00"	"1.599131e+00"	"1.310421e+00"	"2.388771e+00"	"1.039916e-01"	"1.196740e-01"	"0.000000e+00"
"CCR3"	"2.332469e+00"	"2.028607e-01"	"4.569226e-01"	"0.000000e+00"	"3.212274e-01"	"3.267285e-01"	"3.581636e-01"	"4.357489e-01"	"5.998066e+00"	"5.138488e+00"	"7.995654e-01"	"5.803292e+00"	"6.688558e-01"	"1.559874e-01"	"1.595654e-01"	"0.000000e+00"
"CCR1"	"1.545261e+02"	"5.132375e+01"	"1.698229e+01"	"5.320560e+01"	"9.636821e+01"	"9.867201e+00"	"2.865309e+01"	"2.618124e+01"	"1.218413e+02"	"5.529014e+01"	"4.837370e+01"	"1.074545e+02"	"2.244489e+02"	"3.218539e+01"	"6.514257e+01"	"3.404848e+00"
"CCR2"	"2.828119e+01"	"5.882959e+00"	"1.286999e+01"	"3.962337e+01"	"3.437133e+01"	"2.287100e+00"	"1.208802e+01"	"9.477537e+00"	"1.638278e+01"	"4.069683e+01"	"1.559152e+01"	"2.845485e+01"	"2.790084e+01"	"2.469800e+00"	"2.908079e+01"	"6.809696e-01"
"CCR5"	"2.230423e+01"	"1.176592e+01"	"9.138453e+00"	"2.236473e+01"	"1.509769e+01"	"3.724705e+00"	"1.000620e+01"	"1.093003e+01"	"8.862814e+00"	"2.672014e+01"	"9.195002e+00"	"1.441463e+01"	"4.500444e+01"	"5.069589e+00"	"1.396197e+01"	"6.809696e-01"
"CCRL2"	"2.361625e+01"	"1.663457e+01"	"1.073768e+01"	"9.190987e+00"	"1.863119e+01"	"7.972176e+00"	"1.625167e+01"	"2.135169e+01"	"9.220908e+00"	"6.310064e+01"	"2.078870e+01"	"1.890750e+01"	"8.093155e+01"	"2.636187e+01"	"2.174079e+01"	"8.852604e+00"
"LTF"	"7.055719e+01"	"1.014303e-01"	"7.615377e-02"	"4.912072e+01"	"1.049343e+01"	"3.920742e-01"	"2.842924e+00"	"5.083737e-01"	"7.081299e+01"	"1.233237e+00"	"7.995654e-01"	"3.556856e+00"	"4.777541e-01"	"5.199579e-01"	"2.872177e+00"	"1.157648e+01"
"LRRC2"	"1.457793e-01"	"6.085820e-01"	"9.899990e-01"	"2.757296e+00"	"9.636821e-01"	"9.148398e-01"	"1.611736e+00"	"4.502738e+00"	"8.952337e-01"	"6.166186e+00"	"1.998913e+00"	"1.310421e+00"	"5.733050e-01"	"5.199579e-01"	"1.037175e+00"	"1.225745e+00"
"TDGF1"	"2.915586e-01"	"2.028607e-01"	"3.046151e-01"	"5.106104e-01"	"0.000000e+00"	"1.960371e-01"	"1.119261e-01"	"3.631240e-02"	"0.000000e+00"	"0.000000e+00"	"0.000000e+00"	"0.000000e+00"	"0.000000e+00"	"5.199579e-02"	"3.989135e-02"	"8.171635e-01"
